2026-02-02 15:09:43,135 | INFO | IP=127.0.0.1 | METHOD=GET | PATH=/brand-compliance/run | STATUS=405 | DURATION=0.0003s
2026-02-02 15:10:11,258 | INFO | IP=127.0.0.1 | METHOD=GET | PATH=/brand-compliance/run | STATUS=405 | DURATION=0.0001s
2026-02-02 15:10:28,065 | INFO | IP=127.0.0.1 | METHOD=POST | PATH=/brand-compliance/run | STATUS=422 | DURATION=0.0019s
2026-02-02 15:11:55,213 | INFO | IP=127.0.0.1 | METHOD=POST | PATH=/brand-compliance/run | STATUS=422 | DURATION=0.0003s
2026-02-02 15:12:04,852 | INFO | IP=127.0.0.1 | METHOD=POST | PATH=/brand-compliance/run | STATUS=422 | DURATION=0.0003s
2026-02-02 15:12:41,742 | INFO | IP=127.0.0.1 | METHOD=POST | PATH=/brand-compliance/run | STATUS=422 | DURATION=0.0009s
2026-02-02 15:12:44,870 | INFO | IP=127.0.0.1 | METHOD=POST | PATH=/brand-compliance/run | STATUS=422 | DURATION=0.0003s
2026-02-02 15:12:56,902 | INFO | IP=127.0.0.1 | METHOD=POST | PATH=/brand-compliance/run | STATUS=200 | DURATION=3.4427s
2026-02-02 16:12:58,875 | INFO | IP=127.0.0.1 | METHOD=POST | PATH=/brand-compliance/run | STATUS=200 | DURATION=2.9637s
2026-02-02 16:14:34,260 | INFO | IP=127.0.0.1 | METHOD=POST | PATH=/brand-compliance/run | STATUS=200 | DURATION=3.0211s
2026-02-02 16:16:17,725 | INFO | IP=127.0.0.1 | METHOD=POST | PATH=/brand-compliance/run | STATUS=200 | DURATION=3.6541s
2026-02-02 16:22:33,634 | INFO | IP=127.0.0.1 | METHOD=POST | PATH=/brand-compliance/run | STATUS=200 | DURATION=2.8003s
2026-02-02 16:28:48,478 | INFO | IP=127.0.0.1 | METHOD=POST | PATH=/brand-compliance/run | STATUS=200 | DURATION=3.373s
2026-02-02 16:30:03,408 | INFO | IP=127.0.0.1 | METHOD=POST | PATH=/brand-compliance/run | STATUS=200 | DURATION=2.3465s
